"name","industry","size","remotePolicy","priority","status","notes"
"Olympus Europa SE & Co. KG","MedTech Systems","","Hybrid / location-dependent","A","Target","Tier: S | Path: CV1 MedTech Systems | HQ/EU office: Hamburg, DE | English: Yes | Why fit: European HQ in Hamburg. Endoscopy + surgical imaging — exact overlap with your LiveSurgery and integrated OR work. Geographic home run. | Likely roles: TPM Surgical / Endoscopy; PM Imaging Systems; Project Manager OR Integration | Apply: olympus-europa.com/careers + LinkedIn"
"Drägerwerk AG & Co. KGaA","MedTech Systems","","Hybrid / location-dependent","A","Target","Tier: S | Path: CV1 MedTech Systems | HQ/EU office: Lübeck, DE (~70 km Hamburg) | English: Mixed/Yes | Why fit: OR ceiling systems, anaesthesia workstations, patient monitoring. Direct fit with your integrated OR delivery experience. | Likely roles: TPM Medical Devices; Product Manager Acute Care; Systems Integration Lead | Apply: draeger.com/careers + LinkedIn"
"Brainlab AG","MedTech Systems","","Hybrid / location-dependent","A","Target","Tier: S | Path: CV1 MedTech Systems | HQ/EU office: Munich, DE | English: Yes | Why fit: Image-guided surgery + digital OR platforms. Explicitly English working language, 100+ nationalities. Exact domain match. | Likely roles: TPM Digital OR; PM Surgical Navigation; Senior PM Image-Guided Therapy | Apply: brainlab.com/careers"
"Siemens Healthineers","MedTech Systems","","Hybrid / location-dependent","A","Target","Tier: S | Path: CV1 MedTech Systems | HQ/EU office: Erlangen, DE (multiple) | English: Yes | Why fit: Imaging + clinical IT + digital health at scale. Global product orgs operate in English. Strong PMs/TPMs in regulated SW. | Likely roles: TPM Diagnostic Imaging; PM Digital Health; PM Clinical Workflow | Apply: siemens-healthineers.com/careers"
"KARL STORZ SE & Co. KG","MedTech Systems","","Hybrid / location-dependent","A","Target","Tier: S | Path: CV1 MedTech Systems | HQ/EU office: Tuttlingen, DE (Berlin office) | English: Mixed | Why fit: Endoscopy + integrated OR (OR1 platform) — direct LiveSurgery parallel. Family-owned, some functions are German-heavy; international product roles are English. | Likely roles: PM Integrated OR; TPM Endoscopy Systems | Apply: karlstorz.com/careers + LinkedIn (filter Berlin/EU + English)"
"Stryker","MedTech Systems","","Hybrid / location-dependent","A","Target","Tier: S | Path: CV1 MedTech Systems | HQ/EU office: Freiburg DE / Amsterdam NL | English: Yes | Why fit: Surgical instruments, neurotech, endoscopy, ASCs. Multiple EU sites. English-first product orgs. | Likely roles: TPM Surgical; PM Endoscopy; PM Neurotechnology | Apply: stryker.com/careers"
"Medtronic","MedTech Systems","","Hybrid / location-dependent","A","Target","Tier: S | Path: CV1 MedTech Systems | HQ/EU office: Maastricht NL / Düsseldorf DE / Galway IE | English: Yes | Why fit: Largest pure MedTech globally. Surgical Robotics (Hugo), Touch Surgery acquired. Strong remote/hybrid PM hiring across EU. | Likely roles: TPM Surgical Robotics; PM Digital Surgery; PM Touch Surgery | Apply: medtronic.com/careers"
"Smith+Nephew","MedTech Systems","","Hybrid / location-dependent","B","Target","Tier: A | Path: CV1 MedTech Systems | HQ/EU office: Hamburg DE / London UK | English: Yes | Why fit: Hamburg presence. Orthopaedics + sports medicine + advanced wound. Real Quan Asia + EU teams. | Likely roles: TPM Orthopaedics; PM Sports Medicine; Project Manager Digital Surgery | Apply: smith-nephew.com/careers"
"B. Braun Melsungen AG","MedTech Systems","","Hybrid / location-dependent","B","Target","Tier: A | Path: CV1 MedTech Systems | HQ/EU office: Melsungen, DE | English: Mixed | Why fit: Largest German MedTech (privately held). Infusion, surgical, dialysis. Some German-dominant functions; product/digital orgs trending English. | Likely roles: TPM Surgical; PM Digital Health; Project Manager OR Solutions | Apply: bbraun.com/careers"
"Getinge AB","MedTech Systems","","Hybrid / location-dependent","B","Target","Tier: A | Path: CV1 MedTech Systems | HQ/EU office: Gothenburg SE / Rastatt DE | English: Yes | Why fit: OR equipment, sterile workflows, surgical tables/lights. Scandinavian = English by default. You already drafted a Getinge-targeted CV. | Likely roles: TPM Surgical Workflows; Senior PM Acute Care | Apply: getinge.com/careers"
"Elekta","MedTech Systems","","Hybrid / location-dependent","B","Target","Tier: A | Path: CV1 MedTech Systems | HQ/EU office: Stockholm SE | English: Yes | Why fit: Radiation oncology + clinical workflow software (MOSAIQ). Image-guided therapy parallels your OR systems work. | Likely roles: TPM Clinical Workflow; PM Oncology Informatics | Apply: elekta.com/careers"
"Carl Zeiss Meditec AG","MedTech Systems","","Hybrid / location-dependent","B","Target","Tier: A | Path: CV1 MedTech Systems | HQ/EU office: Jena/Oberkochen, DE | English: Yes | Why fit: Surgical microscopes (OPMI), ophthalmic systems, intraoperative imaging. Direct overlap with multi-source OR video work. | Likely roles: TPM Surgical Visualization; PM Digital OR; Project Manager Connected Solutions | Apply: zeiss.com/careers"
"Boston Scientific","MedTech Systems","","Hybrid / location-dependent","B","Target","Tier: A | Path: CV1 MedTech Systems | HQ/EU office: Düsseldorf DE / Galway IE | English: Yes | Why fit: Endoscopy, cardiology, neuromodulation. EU PM hiring is steady. English-default. | Likely roles: TPM Endoscopy; PM Image-Guided Therapy | Apply: bostonscientific.com/careers"
